file_path,status,complete,implementation_order,sprint,next_action,audit_basis,completed_at
implementation/ai-indexing-plans/parsing-managament/01-static-html-parsing.md,full,yes,,,COMPLETE — no action required.,Shipped code/tests and runtime integration.,2026-02-20T12:00
implementation/ai-indexing-plans/parsing-managament/02-dynamic-js-rendered-parsing.md,full,yes,,,COMPLETE — no action required.,Shipped with dynamic crawler service; telemetry; and GUI proof.,2026-02-20T12:00
implementation/ai-indexing-plans/parsing-managament/03-main-article-extraction.md,full,yes,,,COMPLETE — no action required.,Shipped with policy overrides; telemetry; and GUI leaderboard.,2026-02-20T12:00
implementation/ai-indexing-plans/parsing-managament/04-html-spec-table-extraction.md,full,yes,,,COMPLETE — no action required.,Shipped with table parser V2 behavior and runtime wiring.,2026-02-20T12:00
implementation/ai-indexing-plans/parsing-managament/05-embedded-json-structured-metadata.md,full,yes,,,COMPLETE — no action required.,Shipped baseline with sidecar + merger + GUI counters.,2026-02-20T12:00
implementation/ai-indexing-plans/parsing-managament/06-text-pdf-extraction.md,full,yes,,,COMPLETE — no action required.,Shipped baseline with backend router; normalized surfaces; and GUI proof.,2026-02-20T12:00
src/utils/identityNormalize.js,full,yes,,S1-decompose,COMPLETE — Extracted 4 identity functions (normalizeIdentityToken; ambiguityLevelFromFamilyCount; normalizeAmbiguityLevel; resolveIdentityLockStatus) from runProduct.js and needsetEngine.js. 29 tests; 0 regressions.,Sprint 1 Item 1 — TDD extraction completed.,2026-02-20T12:00
src/pipeline/runOrchestrator.js,full,yes,,S1-decompose,COMPLETE — Created RunOrchestrator shell with buildRoundContext; evaluateRoundProgress; evaluateStopConditions; orchestrateRound. 26 tests; 0 regressions. Provides Phase 09 convergence seam.,Sprint 1 Item 2 — TDD creation completed. Phase 09 will extend this module.,2026-02-20T12:00
src/pipeline/fetchParseWorker.js,full,yes,,S1-decompose,COMPLETE — Extracted 15 fetch/parse/host-budget helpers from runProduct.js. 52 tests; 0 regressions. runProduct.js reduced by 228 lines.,Sprint 1 Item 3 — TDD extraction completed.,2026-02-20T12:00
src/pipeline/runOrchestrator.js (convergenceLoop),full,yes,,S2-convergence,COMPLETE — Phase 09 TDD: 22 tests for convergence loop (summarizeRoundProgress; buildNeedSetDispatch; runConvergenceLoop). Round-0 bootstrap; round-N NeedSet-driven dispatch; stop conditions (complete/max_rounds/no_progress); round metadata; event emission.,Sprint 2 Items 4-7 — TDD round controller + NeedSet dispatch + stop conditions implemented in runOrchestrator.js.,2026-02-20T12:00
src/pipeline/identityGateExtraction.js,full,yes,,S2-convergence,COMPLETE — Phase 08 identity gate enforcement: applyIdentityGateToCandidates + isIdentityGatedField. 13 tests. Wired into runProduct.js after evaluateSourceIdentity. Candidates from identity-failed sources get confidence-capped and tagged with identity_reject_reason.,Sprint 2 Item 8 — Identity gate on extraction evidence implemented and wired.,2026-02-20T12:00
src/pipeline/runOrchestrator.js (events),full,yes,,S2-convergence,COMPLETE — Convergence round events: convergence_round_started; convergence_round_completed; convergence_stop emitted via optional logger. 3 event tests pass. NeedSet size; confidence delta; stop reason all logged per round.,Sprint 2 Item 9 — Round summary events added to convergence loop.,2026-02-20T12:00
